infection_prob	prestige	size
0.1	79.43	0.6180357142857142
0.1	81.26	0.41623214285714283
0.1	81.79	0.08474107142857142
0.1	81.93	0.33285714285714285
0.1	82.1	0.13292857142857145
0.1	83.14	0.3531428571428571
0.1	83.61	0.2241696428571429
0.1	83.7	0.2712053571428571
0.1	84.5	0.27349107142857143
0.1	86.03	0.46175
0.1	86.87	0.07879464285714285
0.1	87.94	0.08590178571428572
0.1	89.07	0.013785714285714281
0.1	89.53	0.008928571428571425
0.1	90.7	0.008928571428571425
0.1	91.79	0.009812499999999997
0.1	92.8	0.1992232142857143
0.1	94.16	0.10090178571428572
0.1	95.0	0.008928571428571425
0.1	95.11	0.008928571428571425
0.1	96.16	0.21751785714285718
0.1	96.27	0.00982142857142857
0.1	96.41	0.03415178571428571
0.1	96.56	0.008928571428571425
0.1	97.3	0.008928571428571425
0.1	97.9	0.008928571428571425
0.1	98.66	0.008928571428571425
0.1	99.06	0.008928571428571425
0.1	99.38	0.008928571428571425
0.1	99.54	0.09866071428571431
0.1	100.06	0.008928571428571425
0.1	101.19	0.008928571428571425
0.1	101.48	0.009803571428571427
0.1	102.03	0.008928571428571425
0.1	103.77	0.008928571428571425
0.1	104.9	0.008928571428571425
0.30000000000000004	1.19	0.9998928571428571
0.30000000000000004	2.28	0.9998125
0.30000000000000004	4.39	0.9998928571428571
0.30000000000000004	6.16	0.9998035714285715
0.30000000000000004	6.21	0.9998214285714286
0.30000000000000004	6.27	0.9998660714285714
0.30000000000000004	8.51	0.9998303571428571
0.30000000000000004	9.23	0.9998660714285714
0.30000000000000004	10.02	0.9998214285714285
0.30000000000000004	10.74	0.999875
0.30000000000000004	10.79	0.9998392857142858
0.30000000000000004	11.72	0.9998214285714286
0.30000000000000004	11.99	0.9998660714285713
0.30000000000000004	12.91	0.9998482142857144
0.30000000000000004	13.96	0.9998839285714286
0.30000000000000004	16.62	0.9997946428571429
0.30000000000000004	18.8	0.9998392857142858
0.30000000000000004	19.2	0.9998660714285714
0.30000000000000004	20.3	0.9998214285714285
0.30000000000000004	20.54	0.9998660714285714
0.30000000000000004	21.17	0.9998303571428571
0.30000000000000004	22.77	0.9998839285714287
0.30000000000000004	25.09	0.9998571428571429
0.30000000000000004	26.07	0.9998303571428571
0.30000000000000004	26.96	0.9998571428571429
0.30000000000000004	27.03	0.9998392857142858
0.30000000000000004	27.55	0.9997857142857144
0.30000000000000004	28.06	0.9998035714285716
0.30000000000000004	29.24	0.9998303571428571
0.30000000000000004	29.5	0.9999196428571429
0.30000000000000004	34.54	0.9999107142857143
0.30000000000000004	35.24	0.9997857142857144
0.30000000000000004	37.28	0.9998392857142858
0.30000000000000004	37.77	0.9998392857142858
0.30000000000000004	38.7	0.9998303571428571
0.30000000000000004	39.48	0.9998303571428572
0.30000000000000004	39.73	0.9989107142857143
0.30000000000000004	40.37	0.9998303571428571
0.30000000000000004	40.95	0.9997857142857144
0.30000000000000004	42.51	0.9998839285714286
0.30000000000000004	44.2	0.9998125
0.30000000000000004	46.53	0.998875
0.30000000000000004	47.39	0.9998392857142858
0.30000000000000004	47.5	0.9998839285714287
0.30000000000000004	47.53	0.9998035714285716
0.30000000000000004	47.68	0.9989464285714287
0.30000000000000004	47.95	0.9988839285714287
0.30000000000000004	48.53	0.8418303571428571
0.30000000000000004	49.18	0.9998660714285714
0.30000000000000004	49.98	0.9262053571428571
0.30000000000000004	50.61	0.9998839285714287
0.30000000000000004	51.0	0.7489017857142858
0.30000000000000004	51.57	0.9999285714285715
0.30000000000000004	52.71	0.9998660714285714
0.30000000000000004	53.89	0.9998035714285716
0.30000000000000004	54.57	0.9998571428571429
0.30000000000000004	55.75	0.998875
0.30000000000000004	57.24	0.9919732142857144
0.30000000000000004	58.41	0.9979553571428571
0.30000000000000004	59.23	0.9998660714285715
0.30000000000000004	61.05	0.9971071428571429
0.30000000000000004	61.07	0.9988571428571429
0.30000000000000004	63.67	0.9913214285714287
0.30000000000000004	63.84	0.9979553571428572
0.30000000000000004	64.13	0.9988839285714287
0.30000000000000004	64.97	0.9959642857142857
0.30000000000000004	68.62	0.9998214285714286
0.30000000000000004	69.32	0.64725
0.30000000000000004	69.52	0.9856428571428572
0.30000000000000004	69.66	0.8703214285714286
0.30000000000000004	70.96	0.83175
0.30000000000000004	73.39	0.9341339285714285
0.30000000000000004	74.3	0.9729017857142858
0.30000000000000004	76.24	0.9893928571428571
0.30000000000000004	76.35	0.9630446428571429
0.30000000000000004	76.48	0.196
0.30000000000000004	79.43	0.9852053571428572
0.30000000000000004	81.26	0.9063928571428571
0.30000000000000004	81.79	0.3847142857142858
0.30000000000000004	81.93	0.8215892857142857
0.30000000000000004	82.1	0.44697321428571424
0.30000000000000004	83.14	0.7698303571428571
0.30000000000000004	83.61	0.6570357142857142
0.30000000000000004	83.7	0.8313392857142856
0.30000000000000004	84.5	0.6193749999999999
0.30000000000000004	86.03	0.9319375
0.30000000000000004	86.87	0.2875446428571428
0.30000000000000004	87.94	0.3762232142857143
0.30000000000000004	89.07	0.06799107142857141
0.30000000000000004	89.53	0.008928571428571425
0.30000000000000004	90.7	0.008928571428571425
0.30000000000000004	91.79	0.011642857142857139
0.30000000000000004	92.8	0.5050178571428571
0.30000000000000004	94.16	0.30127678571428573
0.30000000000000004	95.0	0.008928571428571425
0.30000000000000004	95.11	0.008928571428571425
0.30000000000000004	96.16	0.6592053571428571
0.30000000000000004	96.27	0.011642857142857139
0.30000000000000004	96.41	0.20047321428571432
0.30000000000000004	96.56	0.008928571428571425
0.30000000000000004	97.3	0.008928571428571425
0.30000000000000004	97.9	0.008928571428571425
0.30000000000000004	98.66	0.008928571428571425
0.30000000000000004	99.06	0.008928571428571425
0.30000000000000004	99.38	0.008928571428571425
