infection_prob	prestige	size
0.30000000000000004	18.46	0.9804513888888889
0.30000000000000004	18.69	0.9901666666666665
0.30000000000000004	20.44	0.9919305555555554
0.30000000000000004	23.18	0.9915833333333332
0.30000000000000004	25.01	0.9921736111111111
0.30000000000000004	25.21	0.9925069444444443
0.30000000000000004	27.27	0.9921041666666666
0.30000000000000004	28.0	0.9924583333333332
0.30000000000000004	29.17	0.9910138888888887
0.30000000000000004	29.69	0.7888819444444444
0.30000000000000004	32.1	0.9906874999999998
0.30000000000000004	33.77	0.8916805555555556
0.30000000000000004	35.45	0.9924374999999999
0.30000000000000004	35.83	0.8698124999999999
0.30000000000000004	37.48	0.9919930555555554
0.30000000000000004	37.78	0.9439166666666665
0.30000000000000004	40.18	0.9858125
0.30000000000000004	41.6	0.8155833333333333
