id,cx,cy
Oregon State University,497.67586403809423,514.5416854953555
University of Manitoba,320.62344466491186,586.2976083801844
University of Regina,327.718171198125,382.6926016017768
University of Nebraska at Lincoln,186.30142546079443,424.63315214620866
University of Saskatchewan,229.18701449586098,440.7427800057368
Florida Atlantic University,492.1374006594339,617.3458892856913
University of Texas at San Antonio,205.49475741433255,421.4265039560845
University of Denver,411.86029688586933,601.7744745182495
University of Maryland at Baltimore County,392.8173300807815,180.40727365551396
Oakland University  at Michigan,641.1777205266584,242.86586142705764
University of Maine,477.7765402870975,458.18981920153055
Clarkson University,361.7942994272102,183.4408464230334
New Mexico State University,306.5499246938516,429.04499365548304
University of Memphis,555.5130070656207,623.0540619663893
University of Victoria,320.3596458144493,214.13412222159397
Concordia University at Montreal,331.87338014495845,612.97969964683
University of Missouri at Kansas City,395.82258985359385,608.9017409752158
University of Missouri at Columbia,575.0327001459723,301.2072774951777
Dalhousie University,219.30131374903422,519.8309155508746
Virginia Commonwealth University,394.35655791746706,587.2765353525151
Worcester Polytechnic Institute,232.3803337339965,509.1897448990423
Old Dominion University,563.2409463077556,653.2706268857564
University of Texas at El Paso,341.0483266087631,222.835959483019
Naval Postgraduate School,485.2384107626213,476.7586839248222
University of Massachusetts at Boston,548.3405972586277,369.5422103425781
University of Wyoming,201.16687255670496,490.1348660292451
York University,197.2350357017762,450.66565223655334
University of Georgia,308.66950723864534,541.0333238009565
Mississippi State University,676.0367887781339,379.95171370649064
Tufts University,494.03513990686787,450.0570677951227
Florida International University,580.0933484710541,267.86565902096083
Southern Illinois University at Carbondale,659.0281671927502,405.4418278840377
Ohio University,473.5546490954396,439.50137445741984
Claremont Graduate University,524.0108564976845,539.3403761402716
Catholic University of America,448.27378036563937,321.33412238450353
Clemson University,170.15205863442173,477.7591768319014
University of Massachusetts at Lowell,213.44987838873703,479.62207714870743
Oklahoma State University,311.10682994753444,413.64626312376527
University of North Carolina at Charlotte,655.4640984523847,540.1452085583451
University of Alabama at Birmingham,615.4489450427029,475.80785879031214
Santa Clara University,317.6292247833091,529.1370891990182
University of Hawaii at Manoa,397.2028545993086,221.08430398971228
Temple University,498.78395678288996,465.85859167584846
University of Toledo,213.06916477549163,458.2644415218793
Michigan Technological University,672.5892397167609,397.9141029539384
University of New Hampshire,452.2645825168569,526.7588683579452
Montana State University,636.3002490866281,535.0331214381675
University of New Brunswick,571.3632772163857,393.5746756747063
Wright State University,428.95620993114835,627.0673142411852
Western Michigan University,621.5931816992811,568.6943774484737
Northeastern University,179.15654574037944,460.41298161097984
University of Alabama at Huntsville,498.98871845499946,569.5069090076939
University of Idaho at Moscow,543.0003217230297,567.5036529532164
Texas Tech University,566.2152230431645,550.4465939691622
University of Tulsa,657.2000944602421,426.55862512976734
University of Mississippi,454.95282497535396,593.7065190443316
Brigham Young University,184.62088787980102,485.72064091383186
Long Island University,369.30500634244515,607.1213469008364
University of Southern Mississippi,620.262958151953,460.0260425588567
University of Colorado at Colorado Springs,635.35354861854,365.5017632667185
Colorado School of Mines,599.4573044887189,462.2637497315084
Georgia State University,372.0673227939126,625.4794835843225
University of Nevada at Las Vegas,603.3493271491726,445.3189916189838
Kent State University,183.9519977758288,442.5320085652246
Memorial University of Newfoundland,316.8189913676116,602.8386383738125
Utah State University,562.3447122306521,516.8836427519893
DePaul University,409.2229399664805,171.69265416680116
North Dakota State University,379.9708602433854,231.87282347781232
Nova Southeastern University,573.8695702332955,284.01580914218215
University of Arkansas at Fayetteville,672.5151658281561,417.4627653030629
University of Bridgeport,503.37210978188784,315.03316473311526
University of Louisville,626.2584072824268,552.2416122918668
University of Nebraska at Omaha,572.7054944124378,618.5872106725458
Florida Institute of Technology,541.5568407991941,646.5177418057935
University of Arkansas at Little Rock,195.55004346468962,470.0194343063969
Rochester Institute of Technology,578.4573086184224,636.2991399186765
Pace University,489.2747381352976,306.4275889837534
New Mexico Institute of Mining and Technology,643.3355061671468,413.02460669955946
University of Nevada at Reno,597.644810318794,498.7686957072965
University of Alabama at Tuscaloosa,592.2889905341259,291.59010552676875
University of North Texas at Denton,464.2492272831903,628.4173797906421
